name,date,time,heat,temp,notes
colombia-libardo-gomez,7/2/22,0,10,220,
colombia-libardo-gomez,7/2/22,0.5,10,180,
colombia-libardo-gomez,7/2/22,1,10,170,
colombia-libardo-gomez,7/2/22,1.5,10,165,
colombia-libardo-gomez,7/2/22,2,9,170,
colombia-libardo-gomez,7/2/22,2.5,9,170,
colombia-libardo-gomez,7/2/22,3,9,175,yellow
colombia-libardo-gomez,7/2/22,3.5,8,182.5,
colombia-libardo-gomez,7/2/22,4,8,190,
colombia-libardo-gomez,7/2/22,4.5,7,195,
colombia-libardo-gomez,7/2/22,5,7,197.5,
colombia-libardo-gomez,7/2/22,5.5,7,200,
colombia-libardo-gomez,7/2/22,6,6,205,brown
colombia-libardo-gomez,7/2/22,6.5,6,207.5,
colombia-libardo-gomez,7/2/22,7,5,210,
colombia-libardo-gomez,7/2/22,7.5,5,212.5,
colombia-libardo-gomez,7/2/22,8,5,215,
