name,date,time,heat,temp,notes,unit
sumatra-ribang-gayo,7/11/22,0,10,240,,C
sumatra-ribang-gayo,7/11/22,0.5,10,200,,C
sumatra-ribang-gayo,7/11/22,1,10,185,,C
sumatra-ribang-gayo,7/11/22,1.5,9,182.5,,C
sumatra-ribang-gayo,7/11/22,2,9,185,,C
sumatra-ribang-gayo,7/11/22,2.5,8,190,,C
sumatra-ribang-gayo,7/11/22,3,7,195,,C
sumatra-ribang-gayo,7/11/22,3.5,7,200,yellow,C
sumatra-ribang-gayo,7/11/22,4,6,205,,C
sumatra-ribang-gayo,7/11/22,4.5,5,210,,C
sumatra-ribang-gayo,7/11/22,5,5,210,,C
sumatra-ribang-gayo,7/11/22,5.5,4,212.5,brown,C
sumatra-ribang-gayo,7/11/22,6,4,215,,C
sumatra-ribang-gayo,7/11/22,6.5,4,216,,C
sumatra-ribang-gayo,7/11/22,7,4,217.5,,C
sumatra-ribang-gayo,7/11/22,7.5,3,219,,C
sumatra-ribang-gayo,7/11/22,8,3,220,FC,C
sumatra-ribang-gayo,7/11/22,8.5,3,220,,C
,,,,,,
,,,,,,
,,,,,,
,,,,,,
