name,date,time,heat,temp,notes
yuni-xam-tai-natural,11/8/21,0,10,200,
yuni-xam-tai-natural,11/8/21,0.5,10,155,
yuni-xam-tai-natural,11/8/21,1,10,135,
yuni-xam-tai-natural,11/8/21,1.5,10,130,
yuni-xam-tai-natural,11/8/21,2,10,137.5,
yuni-xam-tai-natural,11/8/21,2.5,10,145,
yuni-xam-tai-natural,11/8/21,3,9,150,
yuni-xam-tai-natural,11/8/21,3.5,9,155,
yuni-xam-tai-natural,11/8/21,4,9,160,
yuni-xam-tai-natural,11/8/21,4.5,9,165,
yuni-xam-tai-natural,11/8/21,5,9,170,"steam, yellow"
yuni-xam-tai-natural,11/8/21,5.5,9,175,
yuni-xam-tai-natural,11/8/21,6,8,180,
yuni-xam-tai-natural,11/8/21,6.5,7,190,bread
yuni-xam-tai-natural,11/8/21,7,7,195,smoke
yuni-xam-tai-natural,11/8/21,7.5,6,200,
yuni-xam-tai-natural,11/8/21,8,6,202.5,
yuni-xam-tai-natural,11/8/21,8.5,6,205,
yuni-xam-tai-natural,11/8/21,9,5,210,FC
yuni-xam-tai-natural,11/8/21,9.5,5,212.5,
yuni-xam-tai-natural,11/8/21,10,5,215,
